city;region;wind_region;w0_kpa
Набережные Челны;Республика Татарстан;II;0.30
Надым;Надымский район, Ямало-Ненецкий автономный округ;III;0.38
Назрань;Республика Ингушетия;IV;0.48
Называевск;Омская область;II;0.30
Наканно;Иркутская область;Ia;0.17
Нальчик;Кабардино-Балкарская Республика;IV;0.48
Намы;Муниципальный район Булунский улус, Республика Саха (Якутия);III;0.38
Напас;Томская область;I;0.23
Нариманов;Астраханская область;III;0.38
Нарьян-Мар;Ямало-Ненецкий автономный округ;IV;0.48
Находка;Приморский край;V;0.60
Невель;Псковская область;I;0.23
Невельск;Сахалинская область;VI;0.73
Невинномысск;Ставропольский край;IV;0.48
Нелькан;Хабаровский край;III;0.38
Нерехта;Костромская область;I;0.23
Нерчинск;Забайкальский край;II;0.30
Нерюнгри;Республика Саха (Якутия);I;0.23
Нефтекамск;Республика Башкортостан;II;0.30
Нефтеюганск;Ханты-Мансийский автономный округ;I;0.23
Нидым;Красноярский край;I;0.23
Нижнеангарск;Республика Бурятия;II;0.30
Нижневартовск;Ханты-Мансийский автономный округ;I;0.23
Нижнегорский;Республика Крым;II;0.30
Нижнеудинск;Иркутская область;III;0.38
Нижний Бестях;Республика Саха (Якутия);I;0.23
Нижний Ломов;Пензенская область;II;0.30
Нижний Новгород;Нижегородская область;I;0.23
Нижний Тагил;Свердловская область;I;0.23
Никитский сад;Республика Крым;III;0.38
Николаевск;Волгоградская область;III;0.38
Николаевск-на-Амуре;Хабаровский край;IV;0.48
Никольск;Пензенская область;I;0.23
Новая земля;Архангельская область;VII;0.85
Новая Чара;Забайкальский край;Ia;0.17
Новоалтайск;Алтайский край;III;0.38
Новокузнецк;Кемеровская область;III;0.38
Новокуйбышевск;Самарская область;III;0.38
Новомосковск;Тульская область;I;0.23
Новоникольское;Томская область;I;0.23
Новороссийск;Краснодарский край;VI;0.73
Новосибирск;Новосибирская область;III;0.38
Новотроицк;Оренбургская область;III;0.38
Новоузенск;Саратовская область;III;0.38
Новорыбная;Красноярский край;IV;0.48
Новочебоксарск;Чувашская Республика;I;0.23
Новый Уоян;Республика Бурятия;I;0.23
Новый Уренгой;Ямало-Ненецкий автономный округ;III;0.38
Ногинск;Красноярский край;I;0.23
Ноглики;Сахалинская область;IV;0.48
Нолинск;Кировская область;I;0.23
Норильск;Красноярский край;IV;0.48
Ноябрьск;Ямало-Ненецкий автономный округ;I;0.23
Нюрба;Республика Саха (Якутия);I;0.23
Нюя;Республика Саха (Якутия);Ia;0.17
Нязепетровск;Челябинская область;II;0.30
Няндома;Архангельская область;I;0.23
Облучье;Еврейская автономная область;II;0.30
Обнинск;Калужская область;I;0.23
Обоянь;Курская область;II;0.30
Озерновский;Камчатский край;VII;0.85
Оймякон;Республика Саха (Якутия);I;0.23
Октябрьский;Республика Башкортостан;II;0.30
Октябрьский;Камчатский край;VII;0.85
Олёминск;Республика Саха (Якутия);Ia;0.17
Оленёк;Республика Саха (Якутия);III;0.38
Олонец;Республика Карелия;II;0.30
Ольга;Приморский край;VI;0.73
Омолон;Чукотский автономный округ;I;0.23
Омск;Омская область;II;0.30
Омсукчан;Магаданская область;I;0.23
Омутинск;Кировская область;I;0.23
Онега;Архангельская область;II;0.30
Онохой;Заиграевский район, Республика Бурятия;III;0.38
Опарино;Кировская область;I;0.23
Опасное;Республика Крым;III;0.38
Орёл;Орловская область;II;0.30
Оренбург;Оренбургская область;III;0.38
Орлик;Окинский район, Республика Бурятия;III;0.38
Орск;Оренбургская область;III;0.38
Оса;Пермский край;I;0.23
Оссора;Камчатский край;VI;0.73
Остров;Псковская область;I;0.23
Оха;Сахалинская область;VI;0.73
Охотск;Хабаровский край;V;0.60
Павлово;Нижегородская область;I;0.23
Павловск;Воронежская область;II;0.30
Павловск;Алтайский край;III;0.38
Палана;Камчатский край;VI;0.73
Пахачи;Камчатский край;VI;0.73
Певек;Чукотский автономный округ;IV;0.48
Пенза;Пензенская область;II;0.30
Первомайское;Республика Крым;III;0.38
Первоуральск;Свердловская область;I;0.23
Пермь;Пермский край;I;0.23
Пестово;Новгородская область;I;0.23
Петрозаводск;Республика Карелия;II;0.30
Петропавловск-Камчатский;Камчатский край;VII;0.85
Петухово;Курганская область;II;0.30
Печора;Республика Коми;II;0.30
Плесецк;Архангельская область;I;0.23
Поворино;Воронежская область;II;0.30
Подольск;Московская область;I;0.23
Полевской;Свердловская область;II;0.30
Попигай;Таймырский Долгано-Ненецкий район, Красноярский край;III;0.38
Поронайск;Сахалинская область;V;0.60
Починск;Смоленская область;I;0.23
Почтовое;Республика Крым;II;0.30
Предпорожный;Республика Саха (Якутия);I;0.23
Преображенка;Иркутская область;I;0.23
Приаргунск;Забайкальский край;III;0.38
Приморско-Ахтарск;Краснодарский край;III;0.38
Приобье;Ханты-Мансийский автономный округ;I;0.23
Провидения;Чукотский Автономный округ;VII;0.85
Пролетарск;Ростовская область;III;0.38
Псебай;Краснодарский край;IV;0.48
Псков;Псковская область;I;0.23
Пугачёв;Саратовская область;III;0.38
Пудино;Томская область;I;0.23
Пыть-Ях;Ханты-Мансийский автономный округ;I;0.23
Пялица;Мурманская область;III;0.38
Пятигорск;Ставропольский край;IV;0.48
Радужный;Ханты-Мансийский автономный округ;I;0.23
Раздольное;Республика Крым;III;0.38
Райчихинск;Амурская область;II;0.30
Ратта;Ямало-Ненецкий автономный округ;I;0.23
Ржев;Тверская область;I;0.23
Рославль;Смоленская область;I;0.23
Россошь;Воронежская область;II;0.30
Ростов;Ярославская область;I;0.23
Ростов-на-Дону;Ростовская область;III;0.38
Ртищево;Саратовская область;II;0.30
Рубцовск;Алтайский край;III;0.38
Рудная Пристань;Приморский край;VI;0.73
Ручьи;Архангельская область;III;0.38
Рыбинск;Ярославская область;I;0.23
Ряжев;Тверская область;I;0.23
Рязань;Рязанская область;I;0.23
Савинский;Архангельская область;I;0.23
Саки;Республика Крым;IV;0.48
Салават;Респ. Башкортостан;III;0.38
Салехард;Ямало-Ненецкий автономный округ;IV;0.48
Сальск;Ростовская область;III;0.38
Самара;Самарская область;III;0.38
Сангар;Республика Саха (Якутия);I;0.23
Санкт-Петербург;Ленинградская область;II;0.30
Саракташ;Оренбургская область;III;0.38
Саранск;Республика Мордовия;II;0.30
Сарапул;Удмуртская Республика;I;0.23
Саратов;Саратовская область;III;0.38
Саскылах;Анабарский улус, Республика Саха (Якутия);III;0.38
Сатагай;Республика Саха (Якутия);I;0.23
Сатка;Челябинская область;II;0.30
Светлая;Приморский край;VI;0.73
Светлогорск;Калининградская область;III;0.38
Светлый;Оренбургская область;II;0.30
Светогорск;Ленинградская область;II;0.30
Свободный;Амурская облаcть;II;0.30
Себян-Кюёль;Республика Саха (Якутия);I;0.23
Севастополь;Республика Крым;II;0.30
Северобайкальск;Республика Бурятия;II;0.30
Северодвинск;Архангельская область;II;0.30
Северо-Енисейский;Красноярский край;I;0.23
Северо-Курильск;Сахалинская область;VII;0.85
Североморск;Мурманская область;IV;0.48
Североуральск;Свердловская область;I;0.23
Северск;Томская область;III;0.38
Сеймчан;Магаданская область;I;0.23
Селенгинск;Кабанский район, Республика Бурятия;III;0.38
Серафимович;Волгоградская область;III;0.38
Сергиев Посад;Московская область;I;0.23
Серов;Свердловская область;I;0.23
Серпухов;Московская область;I;0.23
Сиктях;Муниципальный район Булунский улус, Республика Саха (Якутия);III;0.38
Симферополь;Республика Крым;II;0.30
Склад;Республика Саха (Якутия);IV;0.48
Сковородино;Амурская облаcть;II;0.30
Смоленск;Смоленская область;I;0.23
Советск;Калининградская область;I;0.23
Советская Гавань;Хабаровский край;VI;0.73
Советский;Республика Крым;II;0.30
Сокол;Вологодская область;I;0.23
Соликамск;Пермский край;I;0.23
Соль-Илецк;Оренбургская область;III;0.38
Сорочинск;Оренбургская область;III;0.38
Сортавала;Республика Карелия;II;0.30
Сосногорск;Республика Коми;II;0.30
Сочи;Краснодарский край;III;0.38
Спасск-Дальний;Приморский край;III;0.38
Среднеколымск;Республика Саха (Якутия);II;0.30
Сретенск;Забайкальский край;II;0.30
Ставрополь;Ставропольский край;IV;0.48
Старый Оскол;Белгородская область;II;0.30
Стерегущее;Республика Крым;III;0.38
Стерлитамак;Респ. Башкортостан;III;0.38
Столбы;Республика Саха (Якутия);I;0.23
Стрежевой;Томская область;I;0.23
Судак;Республика Крым;III;0.38
Суккозеро;Республика Карелия;II;0.30
Сургут;Ханты-Мансийский автономный округ;I;0.23
Сызрань;Самарская область;III;0.38
Сыктывкар;Республика Коми;I;0.23
Сым;Красноярский край;I;0.23
Тавда;Свердловская область;I;0.23
Таганрог;Ростовская область;III;0.38
Тайшет;Иркутская область;III;0.38
Таксимо;Республика Бурятия;I;0.23
Талон;Магаданская обл.;III;0.38
Тамбов;Тамбовская область;II;0.30
Тара;Омская область;I;0.23
Тарко-Сале;Ямало-Ненецкий автономный округ;I;0.23
Татарск;Новосибирская область;II;0.30
Таурова;Ханты-Мансийский автономный округ;I;0.23
Таштагол;Кемеровская область;III;0.38
Тверь;Тверская область;I;0.23
Тевриз;Омская область;I;0.23
Тейково;Ивановская область;I;0.23
Терней;Приморский край;VI;0.73
Тикси;Республика Саха (Якутия);VI;0.73
Тимашевск;Краснодарский край;IV;0.48
Тихвин;Ленинградская область;I;0.23
Тихорецк;Краснодарский край;III;0.38
Тобольск;Тюменская область;I;0.23
Тольятти;Самарская область;III;0.38
Томмот;Республика Саха (Якутия);I;0.23
Томск;Томская область;III;0.38
Тоора-Хем;Тоджинский кожуун, Республика Тыва;III;0.38
Тополиное;Республика Саха (Якутия);I;0.23
Торго;Республика Саха (Якутия);Ia;0.17
Тосно;Ленинградская область;I;0.23
Тотьма;Вологодская область;I;0.23
Троицк;Челябинская область;II;0.30
Троицко-Печорск;Республика Коми;I;0.23
Туапсе;Краснодарский край;IV;0.48
Туймазы;Республика Башкортостан;II;0.30
Тула;Тульская область;I;0.23
Тулун;Иркутская область;III;0.38
Тура;Красноярский край;I;0.23
Туран;Пий-Хемский кожуун, Республика Тыва;III;0.38
Туран;Пий-Хемский кожуун, Республика Тыва;III;0.38
Туринск;Свердловская область;I;0.23
Туруханск;Красноярский край;I;0.23
Тымовское;Сахалинская область;III;0.38
Тында;Амурская область;I;0.23
Тюкалинск;Омская область;II;0.30
Тюльган;Оренбургская область;III;0.38
Тюмень;Тюменская область;I;0.23
Удачный;Республика Саха (Якутия);I;0.23
Укарово;Тамбовская область;II;0.30
Улан-Удэ;Республика Бурятия;III;0.38
Ульяновск;Ульяновская область;II;0.30
Улюнхан;Республика Бурятия;II;0.30
Унеча;Брянская область;I;0.23
Урень;Нижегородская область;I;0.23
Уржум;Кировская область;I;0.23
Урицкое;Республика Саха (Якутия);Ia;0.17
Урюпинск;Волгоградская область;II;0.30
Усинск;Республика Коми;II;0.30
Усогорск;Республика Коми;I;0.23
Усолье-Сибирское;Иркутская область;III;0.38
Уссурийск;Приморский край;IV;0.48
Усть-Илинск;Иркутская область;II;0.30
Усть-Ишим;Омская область;I;0.23
Усть-Кут;Иркутская область;II;0.30
Усть-Луга;Ленинградская область;II;0.30
Усть-Оленёк;Республика Саха (Якутия);IV;0.48
Усть-Ордынский;Эхирит-Булагатский район, Иркутская область;III;0.38
Усть-Хайрюзово;Камчатский край;V;0.60
Уфа;Республика Башкортостан;II;0.30
Ухта;Республика Коми;II;0.30
Учалы;Республика Башкортостан;II;0.30
Уяр;Красноярский край;III;0.38
Феодосия;Республика Крым;II;0.30
Фролово;Волгоградская область;III;0.38
Хабаровск;Хабаровский край;III;0.38
Хандыга;Республика Саха (Якутия);I;0.23
Хани;Республика Саха (Якутия);Ia;0.17
Ханты-Мансийск;Ханты-Мансийский автономный округ;I;0.23
Харабали;Астраханская область;III;0.38
Хасавюрт;Республика Дагестан;IV;0.48
Хасан;Приморский край;IV;0.48
Хатанга;Таймырский Долгано-Ненецкий район, Красноярский край;III;0.38
Хилок;Забайкальский край;III;0.38
Холмск;Сахалинская область;VI;0.73
Хор;Хабаровский край;III;0.38
Чагда;Республика Саха (Якутия);I;0.23
Чебоксары;Чувашская Республика;I;0.23
Чегдомын;Хабаровский край;III;0.38
Челябинск;Челябинская область;II;0.30
Черемхово;Иркутская область;III;0.38
Черепаново;Новосибирская область;III;0.38
Череповец;Вологодская область;I;0.23
Черкесск;Карачаево-Черкесская Республика;IV;0.48
Черлак;Омская область;III;0.38
Черноморское;Республика Крым;III;0.38
Чернушка;Пермский край;II;0.30
Чернышевский;Республика Саха (Якутия);Ia;0.17
Чиринда;Красноярский край;II;0.30
Чита;Забайкальский край;II;0.30
Чокурдах;Республика Саха (Якутия);IV;0.48
Чудово;Новгородская область;I;0.23
Чулым;Новосибирская область;III;0.38
Чусовой;Пермский край;I;0.23
Шадринск;Курганская область;II;0.30
Шарья;Костромская область;I;0.23
Шахтёрск;Сахалинская область;VI;0.73
Шахты;Ростовская область;III;0.38
Шахунья;Нижегородская область;I;0.23
Шелехов;Иркутская область;III;0.38
Шилка;Забайкальский край;II;0.30
Шимановск;Амурская область;II;0.30
Щёкино;Тульская область;I;0.23
Щучье;Курганская область;II;0.30
Эгвекинот;Чукотский Автономный округ;VII;0.85
Эйик;Республика Саха (Якутия);II;0.30
Эконда;Красноярский край;I;0.23
Элиста;Республика Калмыкия;III;0.38
Эльгинский;Республика Саха (Якутия);I;0.23
Эльдикан;Республика Саха (Якутия);I;0.23
Энгельс;Саратовская область;III;0.38
Энергетик;Оренбургская область;II;0.30
Эрзин;Республика Тыва;III;0.38
Эссо;Камчатский край;III;0.38
Югорёнок;Республика Саха (Якутия);II;0.30
Югорск;Ханты-Мансийский автономный округ;I;0.23
Южно-Сахалинск;Сахалинская область;VI;0.73
Южно-Сухокумск;Республика Дагестан;III;0.38
Южноуральск;Челябинская область;II;0.30
Юрга;Кемеровская область;III;0.38
Ягодное;Магаданская область;I;0.23
Якутск;Республика Саха (Якутия);I;0.23
Якша;Республика Коми;I;0.23
Ялта;Республика Крым;III;0.38
Ялуторовск;Тюменская область;I;0.23
Ямбург;Ямало-Ненецкий автономный округ;IV;0.48
Янаул;Республика Башкортостан;II;0.30
Яранск;Кировская область;I;0.23
Ярославль;Ярославская область;I;0.23
Ярцево;Красноярский край;I;0.23
